DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2013,1.95,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2014,3.29,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2015,3.27,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Spain,2016,3.69,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Iceland,2010,4.25,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2010,6.97,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2011,5.00,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2012,5.63,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2013,5.56,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2014,5.73,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2015,7.62,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Portugal,2016,7.38,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2010,3.98,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2011,6.85,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2012,6.52,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2013,7.20,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2014,4.88,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2015,6.84,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Slovakia,2016,4.60,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,United Kingdom,2015,9.83,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 1 to 9 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,United Kingdom,2016,9.43,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2010,11.30,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2011,8.97,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2012,8.64,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2013,10.47,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2014,10.72,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2015,11.98,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2016,12.91,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2017,14.95,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2018,12.36,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2019,17.23,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2020,20.41,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2021,20.62,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2022,20.06,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2023,19.03,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Austria,2024,23.34,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2018,21.25,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2019,20.07,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2020,17.33,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2021,18.39,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2022,22.74,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2023,21.27,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bosnia and Herzegovina,2024,22.56,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2010,22.19,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2011,20.14,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2012,19.90,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2013,18.58,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2014,20.57,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2015,21.96,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2016,20.90,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2017,21.07,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2018,26.26,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2019,27.14,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2020,22.58,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2021,27.74,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2022,26.28,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2023,27.62,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Belgium,2024,28.07,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2010,3.12,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2011,2.80,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2012,4.01,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2013,4.66,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2014,5.25,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2015,5.42,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2016,4.88,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2017,6.46,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2018,5.10,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2019,6.66,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2020,7.30,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2021,9.67,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2022,10.87,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2023,12.48,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Bulgaria,2024,12.02,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2010,5.47,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2011,5.21,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2012,5.61,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2013,4.93,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2014,7.52,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2015,7.71,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2016,9.88,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2017,8.75,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2018,9.55,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2019,9.98,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2020,12.41,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2021,14.81,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2022,17.92,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2023,18.62,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Cyprus,2024,19.16,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Czechia,2010,17.98,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Czechia,2011,23.55,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Czechia,2012,22.92,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Czechia,2013,24.07,,
ESTAT:ISOC_EC_ESELS(1.0),12/12/24 11:00:00,Annual,From 10 to 49 persons employed,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprises with e-commerce sales of at least 1% turnover,Percentage of enterprises,Czechia,2014,25.13,,
