country_code,area,year,series,value
31,Azerbaijan,2019,Patents in force (number),236
31,Azerbaijan,2020,Patents in force (number),252
31,Azerbaijan,2021,Patents in force (number),272
44,Bahamas,1985,Grants of patents (number),66
48,Bahrain,2019,Resident patent filings (per million population),4
48,Bahrain,2020,Resident patent filings (per million population),6
48,Bahrain,2021,Resident patent filings (per million population),2
48,Bahrain,1985,Grants of patents (number),31
48,Bahrain,2019,Grants of patents (number),74
48,Bahrain,2020,Grants of patents (number),34
48,Bahrain,2021,Grants of patents (number),67
48,Bahrain,2019,Patents in force (number),130
48,Bahrain,2020,Patents in force (number),131
48,Bahrain,2021,Patents in force (number),114
50,Bangladesh,1995,Resident patent filings (per million population),1
50,Bangladesh,1985,Grants of patents (number),118
50,Bangladesh,1995,Grants of patents (number),80
50,Bangladesh,2005,Grants of patents (number),182
50,Bangladesh,2010,Grants of patents (number),92
50,Bangladesh,2019,Grants of patents (number),129
50,Bangladesh,2020,Grants of patents (number),140
50,Bangladesh,2021,Grants of patents (number),240
50,Bangladesh,2019,Patents in force (number),"1,429"
50,Bangladesh,2020,Patents in force (number),"1,732"
50,Bangladesh,2021,Patents in force (number),"2,114"
52,Barbados,2005,Grants of patents (number),7
52,Barbados,2005,Patents in force (number),49
52,Barbados,2010,Patents in force (number),57
112,Belarus,1995,Resident patent filings (per million population),61
112,Belarus,2005,Resident patent filings (per million population),121
112,Belarus,2010,Resident patent filings (per million population),197
112,Belarus,2019,Resident patent filings (per million population),43
112,Belarus,2020,Resident patent filings (per million population),45
112,Belarus,2021,Resident patent filings (per million population),39
112,Belarus,1995,Grants of patents (number),633
112,Belarus,2005,Grants of patents (number),955
112,Belarus,2010,Grants of patents (number),"1,222"
112,Belarus,2019,Grants of patents (number),461
112,Belarus,2020,Grants of patents (number),447
112,Belarus,2021,Grants of patents (number),316
112,Belarus,2010,Patents in force (number),"4,444"
112,Belarus,2019,Patents in force (number),"1,813"
112,Belarus,2020,Patents in force (number),"1,752"
112,Belarus,2021,Patents in force (number),"1,555"
56,Belgium,1985,Resident patent filings (per million population),78
56,Belgium,1995,Resident patent filings (per million population),72
56,Belgium,2005,Resident patent filings (per million population),208
56,Belgium,2010,Resident patent filings (per million population),244
56,Belgium,2019,Resident patent filings (per million population),288
56,Belgium,2020,Resident patent filings (per million population),282
56,Belgium,2021,Resident patent filings (per million population),284
56,Belgium,1985,Grants of patents (number),"1,976"
56,Belgium,1995,Grants of patents (number),"1,216"
56,Belgium,2005,Grants of patents (number),708
56,Belgium,2010,Grants of patents (number),532
56,Belgium,2019,Grants of patents (number),998
56,Belgium,2020,Grants of patents (number),994
56,Belgium,2021,Grants of patents (number),"1,005"
56,Belgium,2010,Patents in force (number),"89,999"
56,Belgium,2019,Patents in force (number),"162,827"
56,Belgium,2020,Patents in force (number),"164,635"
56,Belgium,2021,Patents in force (number),"157,321"
84,Belize,2019,Grants of patents (number),9
84,Belize,2020,Grants of patents (number),3
84,Belize,2021,Grants of patents (number),12
84,Belize,2019,Patents in force (number),41
84,Belize,2020,Patents in force (number),45
84,Belize,2021,Patents in force (number),57
204,Benin,2005,Resident patent filings (per million population),1
204,Benin,2019,Resident patent filings (per million population),1
204,Benin,2021,Resident patent filings (per million population),1
64,Bhutan,2019,Grants of patents (number),1
64,Bhutan,2019,Patents in force (number),1
64,Bhutan,2020,Patents in force (number),1
64,Bhutan,2021,Patents in force (number),1
68,Bolivia,1985,Resident patent filings (per million population),1
68,Bolivia,1995,Resident patent filings (per million population),2
68,Bolivia,1985,Grants of patents (number),62
68,Bolivia,1995,Grants of patents (number),47
70,Bosnia and Herzegovina,2005,Resident patent filings (per million population),18
70,Bosnia and Herzegovina,2010,Resident patent filings (per million population),15
70,Bosnia and Herzegovina,2019,Resident patent filings (per million population),14
70,Bosnia and Herzegovina,2020,Resident patent filings (per million population),15
70,Bosnia and Herzegovina,2021,Resident patent filings (per million population),16
70,Bosnia and Herzegovina,2005,Grants of patents (number),46
70,Bosnia and Herzegovina,2010,Grants of patents (number),173
70,Bosnia and Herzegovina,2019,Grants of patents (number),2
70,Bosnia and Herzegovina,2020,Grants of patents (number),18
70,Bosnia and Herzegovina,2021,Grants of patents (number),4
70,Bosnia and Herzegovina,2005,Patents in force (number),120
70,Bosnia and Herzegovina,2010,Patents in force (number),716
70,Bosnia and Herzegovina,2019,Patents in force (number),184
70,Bosnia and Herzegovina,2020,Patents in force (number),160
70,Bosnia and Herzegovina,2021,Patents in force (number),152
72,Botswana,2019,Resident patent filings (per million population),1
72,Botswana,2020,Resident patent filings (per million population),1
72,Botswana,2021,Resident patent filings (per million population),1
72,Botswana,2019,Patents in force (number),"2,040"
76,Brazil,1985,Resident patent filings (per million population),14
76,Brazil,1995,Resident patent filings (per million population),17
76,Brazil,2005,Resident patent filings (per million population),22
76,Brazil,2010,Resident patent filings (per million population),22
76,Brazil,2019,Resident patent filings (per million population),26
76,Brazil,2020,Resident patent filings (per million population),25
76,Brazil,2021,Resident patent filings (per million population),22
76,Brazil,1985,Grants of patents (number),"3,934"
76,Brazil,1995,Grants of patents (number),"2,659"
76,Brazil,2005,Grants of patents (number),"2,439"
76,Brazil,2010,Grants of patents (number),"3,251"
76,Brazil,2019,Grants of patents (number),"10,947"
76,Brazil,2020,Grants of patents (number),"20,407"
76,Brazil,2021,Grants of patents (number),"26,872"
76,Brazil,2005,Patents in force (number),"32,571"
76,Brazil,2010,Patents in force (number),"40,022"
76,Brazil,2019,Patents in force (number),"39,538"
76,Brazil,2020,Patents in force (number),"57,942"
76,Brazil,2021,Patents in force (number),"75,529"
96,Brunei,1995,Grants of patents (number),42
96,Brunei,2005,Grants of patents (number),26
96,Brunei,2010,Grants of patents (number),40
96,Brunei,2019,Grants of patents (number),50
96,Brunei,2020,Grants of patents (number),27
96,Brunei,2021,Grants of patents (number),31
96,Brunei,2019,Patents in force (number),540
96,Brunei,2020,Patents in force (number),652
96,Brunei,2021,Patents in force (number),"1,521"
100,Bulgaria,1995,Resident patent filings (per million population),44
100,Bulgaria,2005,Resident patent filings (per million population),36
100,Bulgaria,2010,Resident patent filings (per million population),34
100,Bulgaria,2019,Resident patent filings (per million population),32
100,Bulgaria,2020,Resident patent filings (per million population),42
100,Bulgaria,2021,Resident patent filings (per million population),30
100,Bulgaria,1985,Grants of patents (number),130
100,Bulgaria,1995,Grants of patents (number),375
100,Bulgaria,2005,Grants of patents (number),313
100,Bulgaria,2010,Grants of patents (number),251
100,Bulgaria,2019,Grants of patents (number),195
100,Bulgaria,2020,Grants of patents (number),215
100,Bulgaria,2021,Grants of patents (number),182
100,Bulgaria,2005,Patents in force (number),"2,203"
100,Bulgaria,2010,Patents in force (number),"6,812"
100,Bulgaria,2019,Patents in force (number),"14,342"
100,Bulgaria,2020,Patents in force (number),"14,790"
100,Bulgaria,2021,Patents in force (number),"15,291"
108,Burundi,1995,Grants of patents (number),1
108,Burundi,2019,Grants of patents (number),18
108,Burundi,2020,Grants of patents (number),5
132,Cabo Verde,2021,Grants of patents (number),2
116,Cambodia,2019,Grants of patents (number),84
116,Cambodia,2020,Grants of patents (number),96
120,Cameroon,2005,Resident patent filings (per million population),1
120,Cameroon,2019,Resident patent filings (per million population),1
120,Cameroon,2020,Resident patent filings (per million population),2
120,Cameroon,2021,Resident patent filings (per million population),2
124,Canada,1985,Resident patent filings (per million population),81
124,Canada,1995,Resident patent filings (per million population),83
124,Canada,2005,Resident patent filings (per million population),161
124,Canada,2010,Resident patent filings (per million population),134
124,Canada,2019,Resident patent filings (per million population),113
124,Canada,2020,Resident patent filings (per million population),117
124,Canada,2021,Resident patent filings (per million population),123
124,Canada,1985,Grants of patents (number),"18,697"
124,Canada,1995,Grants of patents (number),"9,139"
124,Canada,2005,Grants of patents (number),"15,516"
124,Canada,2010,Grants of patents (number),"19,120"
124,Canada,2019,Grants of patents (number),"22,009"
124,Canada,2020,Grants of patents (number),"21,284"
124,Canada,2021,Grants of patents (number),"22,687"
124,Canada,2005,Patents in force (number),"125,110"
124,Canada,2010,Patents in force (number),"133,355"
124,Canada,2019,Patents in force (number),"187,928"
124,Canada,2020,Patents in force (number),"192,668"
124,Canada,2021,Patents in force (number),"203,603"
140,Central African Republic,2020,Resident patent filings (per million population),1
152,Chile,1985,Resident patent filings (per million population),10
152,Chile,1995,Resident patent filings (per million population),12
152,Chile,2005,Resident patent filings (per million population),22
152,Chile,2010,Resident patent filings (per million population),19
152,Chile,2019,Resident patent filings (per million population),23
152,Chile,2020,Resident patent filings (per million population),20
152,Chile,2021,Resident patent filings (per million population),21
152,Chile,1985,Grants of patents (number),448
152,Chile,1995,Grants of patents (number),133
152,Chile,2005,Grants of patents (number),311
152,Chile,2010,Grants of patents (number),"1,020"
152,Chile,2019,Grants of patents (number),"1,490"
152,Chile,2020,Grants of patents (number),"2,904"
152,Chile,2021,Grants of patents (number),"2,379"
152,Chile,2010,Patents in force (number),"8,121"
152,Chile,2019,Patents in force (number),"14,438"
152,Chile,2020,Patents in force (number),"17,120"
152,Chile,2021,Patents in force (number),"14,359"
156,China,1985,Resident patent filings (per million population),4
156,China,1995,Resident patent filings (per million population),8
156,China,2005,Resident patent filings (per million population),72
156,China,2010,Resident patent filings (per million population),219
156,China,2019,Resident patent filings (per million population),883
156,China,2020,Resident patent filings (per million population),953
156,China,2021,Resident patent filings (per million population),"1,010"
156,China,1985,Grants of patents (number),44
156,China,1995,Grants of patents (number),"3,393"
156,China,2005,Grants of patents (number),"53,305"
156,China,2010,Grants of patents (number),"135,110"
156,China,2019,Grants of patents (number),"452,804"
156,China,2020,Grants of patents (number),"530,127"
156,China,2021,Grants of patents (number),"695,946"
156,China,2005,Patents in force (number),"182,396"
156,China,2010,Patents in force (number),"564,760"
156,China,2019,Patents in force (number),"2,670,784"
156,China,2020,Patents in force (number),"3,057,844"
156,China,2021,Patents in force (number),"3,596,901"
344,Hong Kong,1985,Resident patent filings (per million population),3
344,Hong Kong,1995,Resident patent filings (per million population),4
344,Hong Kong,2005,Resident patent filings (per million population),23
344,Hong Kong,2010,Resident patent filings (per million population),19
344,Hong Kong,2019,Resident patent filings (per million population),46
344,Hong Kong,2020,Resident patent filings (per million population),57
344,Hong Kong,2021,Resident patent filings (per million population),54
344,Hong Kong,1985,Grants of patents (number),"1,030"
344,Hong Kong,1995,Grants of patents (number),"1,960"
344,Hong Kong,2005,Grants of patents (number),"6,518"
344,Hong Kong,2010,Grants of patents (number),"5,353"
344,Hong Kong,2019,Grants of patents (number),"6,780"
344,Hong Kong,2020,Grants of patents (number),"7,658"
344,Hong Kong,2021,Grants of patents (number),"14,662"
344,Hong Kong,2010,Patents in force (number),"33,225"
344,Hong Kong,2019,Patents in force (number),"51,949"
344,Hong Kong,2020,Patents in force (number),"53,726"
344,Hong Kong,2021,Patents in force (number),"61,446"
446,Macao,1995,Grants of patents (number),2
446,Macao,2005,Grants of patents (number),5
446,Macao,2010,Grants of patents (number),156
446,Macao,2019,Grants of patents (number),20
446,Macao,2020,Grants of patents (number),18
446,Macao,2021,Grants of patents (number),15
446,Macao,2005,Patents in force (number),12
446,Macao,2010,Patents in force (number),377
446,Macao,2019,Patents in force (number),366
446,Macao,2020,Patents in force (number),353
446,Macao,2021,Patents in force (number),348
170,Colombia,1985,Resident patent filings (per million population),2
170,Colombia,1995,Resident patent filings (per million population),4
170,Colombia,2005,Resident patent filings (per million population),2
170,Colombia,2010,Resident patent filings (per million population),3
170,Colombia,2019,Resident patent filings (per million population),8
170,Colombia,2020,Resident patent filings (per million population),7
170,Colombia,2021,Resident patent filings (per million population),8
170,Colombia,1985,Grants of patents (number),169
170,Colombia,1995,Grants of patents (number),365
170,Colombia,2005,Grants of patents (number),256
170,Colombia,2010,Grants of patents (number),639
170,Colombia,2019,Grants of patents (number),"1,630"
170,Colombia,2020,Grants of patents (number),"1,075"
170,Colombia,2021,Grants of patents (number),"1,263"
170,Colombia,2019,Patents in force (number),"8,211"
170,Colombia,2020,Patents in force (number),"8,365"
170,Colombia,2021,Patents in force (number),"8,457"
178,Congo,2005,Resident patent filings (per million population),1
178,Congo,2019,Resident patent filings (per million population),1
178,Congo,2020,Resident patent filings (per million population),2
178,Congo,2021,Resident patent filings (per million population),1
178,Congo,1995,Grants of patents (number),15
188,Costa Rica,1985,Resident patent filings (per million population),6
188,Costa Rica,1995,Resident patent filings (per million population),7
188,Costa Rica,2005,Resident patent filings (per million population),4
188,Costa Rica,2010,Resident patent filings (per million population),2
188,Costa Rica,2019,Resident patent filings (per million population),3
188,Costa Rica,2020,Resident patent filings (per million population),2
188,Costa Rica,2021,Resident patent filings (per million population),3
188,Costa Rica,1985,Grants of patents (number),20
188,Costa Rica,1995,Grants of patents (number),25
188,Costa Rica,2005,Grants of patents (number),13
188,Costa Rica,2010,Grants of patents (number),34
188,Costa Rica,2019,Grants of patents (number),191
188,Costa Rica,2020,Grants of patents (number),170
188,Costa Rica,2021,Grants of patents (number),130
188,Costa Rica,2019,Patents in force (number),"1,068"
188,Costa Rica,2020,Patents in force (number),"1,175"
188,Costa Rica,2021,Patents in force (number),"1,188"
384,Ivory Coast,2019,Resident patent filings (per million population),1
384,Ivory Coast,2020,Resident patent filings (per million population),1
384,Ivory Coast,2021,Resident patent filings (per million population),2
191,Croatia,1995,Resident patent filings (per million population),57
191,Croatia,2005,Resident patent filings (per million population),84
191,Croatia,2010,Resident patent filings (per million population),64
191,Croatia,2019,Resident patent filings (per million population),53
191,Croatia,2020,Resident patent filings (per million population),34
191,Croatia,2021,Resident patent filings (per million population),27
191,Croatia,1995,Grants of patents (number),25
191,Croatia,2005,Grants of patents (number),140
191,Croatia,2010,Grants of patents (number),82
191,Croatia,2019,Grants of patents (number),20
191,Croatia,2020,Grants of patents (number),10
191,Croatia,2021,Grants of patents (number),7
191,Croatia,2005,Patents in force (number),"1,094"
191,Croatia,2010,Patents in force (number),"2,134"
191,Croatia,2019,Patents in force (number),"10,059"
191,Croatia,2020,Patents in force (number),"11,041"
191,Croatia,2021,Patents in force (number),"11,876"
192,Cuba,1995,Resident patent filings (per million population),10
192,Cuba,2005,Resident patent filings (per million population),9
192,Cuba,2019,Resident patent filings (per million population),2
192,Cuba,2020,Resident patent filings (per million population),3
192,Cuba,2021,Resident patent filings (per million population),2
192,Cuba,1985,Grants of patents (number),18
192,Cuba,1995,Grants of patents (number),77
192,Cuba,2005,Grants of patents (number),64
192,Cuba,2019,Grants of patents (number),89
192,Cuba,2020,Grants of patents (number),38
192,Cuba,2021,Grants of patents (number),81
192,Cuba,2005,Patents in force (number),653
192,Cuba,2019,Patents in force (number),648
192,Cuba,2020,Patents in force (number),581
192,Cuba,2021,Patents in force (number),494
196,Cyprus,2005,Resident patent filings (per million population),54
196,Cyprus,2010,Resident patent filings (per million population),35
196,Cyprus,2019,Resident patent filings (per million population),43
196,Cyprus,2020,Resident patent filings (per million population),56
196,Cyprus,2021,Resident patent filings (per million population),38
196,Cyprus,1985,Grants of patents (number),43
196,Cyprus,2005,Grants of patents (number),68
196,Cyprus,2010,Grants of patents (number),19
196,Cyprus,2019,Grants of patents (number),1
196,Cyprus,2010,Patents in force (number),333
196,Cyprus,2019,Patents in force (number),16
196,Cyprus,2020,Patents in force (number),21
196,Cyprus,2021,Patents in force (number),14
203,Czechia,1995,Resident patent filings (per million population),61
203,Czechia,2005,Resident patent filings (per million population),65
203,Czechia,2010,Resident patent filings (per million population),99
203,Czechia,2019,Resident patent filings (per million population),90
203,Czechia,2020,Resident patent filings (per million population),82
203,Czechia,2021,Resident patent filings (per million population),70
203,Czechia,1995,Grants of patents (number),"1,299"
203,Czechia,2005,Grants of patents (number),"1,551"
203,Czechia,2010,Grants of patents (number),911
203,Czechia,2019,Grants of patents (number),509
203,Czechia,2020,Grants of patents (number),499
203,Czechia,2021,Grants of patents (number),444
203,Czechia,2005,Patents in force (number),"10,165"
203,Czechia,2010,Patents in force (number),"23,415"
203,Czechia,2019,Patents in force (number),"48,391"
203,Czechia,2020,Patents in force (number),"50,193"
203,Czechia,2021,Patents in force (number),"51,153"
408,North Korea,2005,Resident patent filings (per million population),245
408,North Korea,2010,Resident patent filings (per million population),327
408,North Korea,2019,Resident patent filings (per million population),287
408,North Korea,2020,Resident patent filings (per million population),269
408,North Korea,2005,Grants of patents (number),"3,583"
408,North Korea,2010,Grants of patents (number),"6,290"
408,North Korea,2019,Grants of patents (number),"4,712"
408,North Korea,2020,Grants of patents (number),"4,227"
180,Democratic Republic of the Congo,2019,Resident patent filings (per million population),1
180,Democratic Republic of the Congo,2020,Resident patent filings (per million population),1
180,Democratic Republic of the Congo,2019,Grants of patents (number),63
180,Democratic Republic of the Congo,2020,Grants of patents (number),27
180,Democratic Republic of the Congo,2019,Patents in force (number),28
180,Democratic Republic of the Congo,2020,Patents in force (number),15
208,Denmark,1985,Resident patent filings (per million population),167
208,Denmark,1995,Resident patent filings (per million population),236
208,Denmark,2005,Resident patent filings (per million population),523
208,Denmark,2010,Resident patent filings (per million population),625
208,Denmark,2019,Resident patent filings (per million population),646
208,Denmark,2020,Resident patent filings (per million population),628
208,Denmark,2021,Resident patent filings (per million population),634
208,Denmark,1985,Grants of patents (number),"1,054"
208,Denmark,1995,Grants of patents (number),"1,120"
208,Denmark,2005,Grants of patents (number),389
208,Denmark,2010,Grants of patents (number),155
208,Denmark,2019,Grants of patents (number),501
208,Denmark,2020,Grants of patents (number),353
208,Denmark,2021,Grants of patents (number),368
208,Denmark,2005,Patents in force (number),"56,978"
208,Denmark,2010,Patents in force (number),"47,732"
208,Denmark,2019,Patents in force (number),"65,967"
208,Denmark,2020,Patents in force (number),"68,961"
208,Denmark,2021,Patents in force (number),"69,784"
212,Dominica,2019,Grants of patents (number),3
212,Dominica,2020,Grants of patents (number),2
212,Dominica,2021,Grants of patents (number),11
214,Dominican Republic,2005,Resident patent filings (per million population),1
214,Dominican Republic,2010,Resident patent filings (per million population),2
214,Dominican Republic,2019,Resident patent filings (per million population),2
214,Dominican Republic,2020,Resident patent filings (per million population),1
214,Dominican Republic,2021,Resident patent filings (per million population),1
214,Dominican Republic,2010,Grants of patents (number),91
214,Dominican Republic,2019,Grants of patents (number),158
214,Dominican Republic,2020,Grants of patents (number),138
214,Dominican Republic,2021,Grants of patents (number),227
214,Dominican Republic,2019,Patents in force (number),758
214,Dominican Republic,2020,Patents in force (number),861
214,Dominican Republic,2021,Patents in force (number),938
218,Ecuador,1995,Resident patent filings (per million population),1
218,Ecuador,2005,Resident patent filings (per million population),1
218,Ecuador,2019,Resident patent filings (per million population),2
218,Ecuador,2020,Resident patent filings (per million population),2
218,Ecuador,2021,Resident patent filings (per million population),2
218,Ecuador,1995,Grants of patents (number),90
218,Ecuador,2005,Grants of patents (number),38
218,Ecuador,2010,Grants of patents (number),28
218,Ecuador,2019,Grants of patents (number),17
218,Ecuador,2020,Grants of patents (number),9
218,Ecuador,2021,Grants of patents (number),17
218,Ecuador,2005,Patents in force (number),38
218,Ecuador,2010,Patents in force (number),199
218,Ecuador,2019,Patents in force (number),71
218,Ecuador,2020,Patents in force (number),80
218,Ecuador,2021,Patents in force (number),80
818,Egypt,1985,Resident patent filings (per million population),3
818,Egypt,1995,Resident patent filings (per million population),7
818,Egypt,2005,Resident patent filings (per million population),6
818,Egypt,2010,Resident patent filings (per million population),7
818,Egypt,2019,Resident patent filings (per million population),10
818,Egypt,2020,Resident patent filings (per million population),10
818,Egypt,2021,Resident patent filings (per million population),9
818,Egypt,1985,Grants of patents (number),298
818,Egypt,1995,Grants of patents (number),346
818,Egypt,2005,Grants of patents (number),147
818,Egypt,2010,Grants of patents (number),321
818,Egypt,2019,Grants of patents (number),747
818,Egypt,2020,Grants of patents (number),495
818,Egypt,2021,Grants of patents (number),508
818,Egypt,2010,Patents in force (number),"3,316"
818,Egypt,2019,Patents in force (number),"5,827"
818,Egypt,2020,Patents in force (number),"5,655"
818,Egypt,2021,Patents in force (number),"5,386"
222,El Salvador,1985,Resident patent filings (per million population),3
222,El Salvador,1995,Resident patent filings (per million population),1
222,El Salvador,2020,Resident patent filings (per million population),1
222,El Salvador,1985,Grants of patents (number),70
222,El Salvador,1995,Grants of patents (number),61
222,El Salvador,2019,Grants of patents (number),117
222,El Salvador,2020,Grants of patents (number),67
222,El Salvador,2021,Grants of patents (number),58
233,Estonia,1995,Resident patent filings (per million population),11
233,Estonia,2005,Resident patent filings (per million population),19
233,Estonia,2010,Resident patent filings (per million population),83
233,Estonia,2019,Resident patent filings (per million population),60
233,Estonia,2020,Resident patent filings (per million population),59
233,Estonia,2021,Resident patent filings (per million population),71
233,Estonia,2005,Grants of patents (number),163
233,Estonia,2010,Grants of patents (number),120
233,Estonia,2019,Grants of patents (number),5
233,Estonia,2020,Grants of patents (number),12
233,Estonia,2021,Grants of patents (number),8
233,Estonia,2005,Patents in force (number),"1,395"
233,Estonia,2010,Patents in force (number),"5,317"
233,Estonia,2019,Patents in force (number),"11,194"
