region,area,year,gdp,r_d,researchers
208,Denmark,2020,354763000000,3.0,7691.9
218,Ecuador,2010,68151329000,0.4,140.6
218,Ecuador,2014,102718000000,0.4,399.5
222,El Salvador,2015,23438240000,0.1,63.2
222,El Salvador,2019,26881140000,0.2,73.0
231,Ethiopia,2005,12401139454,0.2,21.1
231,Ethiopia,2010,29933790334,0.2,42.2
231,Ethiopia,2013,47648276605,0.6,44.7
231,Ethiopia,2017,81770886826,0.3,90.5
233,Estonia,2005,14106790200,0.9,2457.1
233,Estonia,2010,19523477326,1.6,3060.6
233,Estonia,2015,22890762090,1.5,3183.2
233,Estonia,2020,31330419851,1.8,3846.1
246,Finland,2005,204885000000,3.3,7526.6
246,Finland,2010,249424000000,3.7,7720.2
246,Finland,2015,234534000000,2.9,6844.5
246,Finland,2020,271886000000,2.9,7527.4
250,France,2005,2196950000000,2.1,3313.3
250,France,2010,2645190000000,2.2,3873.0
250,France,2015,2439190000000,2.2,4336.0
250,France,2020,2647420000000,2.3,4926.2
268,Georgia,2015,15223796149,0.3,1280.5
268,Georgia,2021,18853115589,0.3,1623.7
270,Gambia,2009,1450142509,0.0,102.9
270,Gambia,2011,1409693597,0.1,31.7
270,Gambia,2018,1670671328,0.1,52.9
276,Germany,2005,2846860000000,2.4,3335.0
276,Germany,2010,3399670000000,2.7,4058.0
276,Germany,2015,3357590000000,2.9,4743.8
276,Germany,2020,3887730000000,3.1,5393.1
288,Ghana,2010,32197655567,0.4,38.0
300,Greece,2005,247875000000,0.6,1745.5
300,Greece,2007,318903000000,0.6,1889.7
300,Greece,2015,195684000000,1.0,3256.0
300,Greece,2020,188480000000,1.5,4010.3
316,Guam,2005,4213000000,0.3,303.0
320,Guatemala,2005,26783389294,0.0,29.6
320,Guatemala,2010,40676578423,0.0,24.8
320,Guatemala,2015,62186064719,0.0,22.2
320,Guatemala,2021,86053083476,0.1,13.9
340,Honduras,2015,20979791685,0.0,22.4
340,Honduras,2019,24882225742,0.1,189.9
344,Hong Kong,2005,181569000000,0.8,2662.5
344,Hong Kong,2010,228639000000,0.7,3114.6
344,Hong Kong,2015,309386000000,0.8,3565.1
344,Hong Kong,2021,368954000000,1.0,4553.4
348,Hungary,2005,113211000000,0.9,1574.3
348,Hungary,2010,132175000000,1.1,2149.8
348,Hungary,2015,125174000000,1.3,2589.1
348,Hungary,2020,157289000000,1.6,4357.9
352,Iceland,2005,16852963067,2.7,7305.3
352,Iceland,2009,13154414219,2.6,7926.0
352,Iceland,2015,17517210519,2.2,5887.9
352,Iceland,2018,26260850582,2.0,6088.3
356,India,2005,820384000000,0.8,134.9
356,India,2010,1675620000000,0.8,156.2
356,India,2015,2103590000000,0.7,216.0
356,India,2018,2702930000000,0.7,252.7
360,Indonesia,2009,539580000000,0.1,89.5
360,Indonesia,2020,1059050000000,0.3,395.7
364,Iran,2010,486808000000,0.3,743.1
364,Iran,2015,408213000000,0.4,825.3
364,Iran,2019,283650000000,0.8,1659.5
368,Iraq,2010,138517000000,0.0,432.0
368,Iraq,2015,166774000000,0.0,65.8
368,Iraq,2021,209692000000,0.0,169.9
372,Ireland,2005,211877000000,1.2,2798.0
372,Ireland,2010,221914000000,1.6,3112.6
372,Ireland,2015,292364000000,1.2,5270.7
372,Ireland,2020,428609000000,1.2,4769.1
380,Italy,2005,1858220000000,1.0,1415.4
380,Italy,2010,2136100000000,1.2,1743.3
380,Italy,2015,1836640000000,1.3,2077.9
380,Italy,2020,1897460000000,1.5,2671.8
392,Japan,2005,4831470000000,3.1,5303.9
392,Japan,2010,5759070000000,3.1,5103.6
392,Japan,2015,4444930000000,3.2,5173.0
392,Japan,2020,5055590000000,3.3,5454.7
398,Kazakhstan,2010,148047000000,0.2,370.5
398,Kazakhstan,2015,184388000000,0.2,777.1
398,Kazakhstan,2021,197112000000,0.1,629.9
400,Jordan,2016,39892551127,0.7,592.4
404,Kenya,2010,45405615064,0.7,221.4
410,South Korea,2005,934901000000,2.5,3692.2
410,South Korea,2010,1143670000000,3.3,5330.8
410,South Korea,2015,1466040000000,4.0,7013.5
410,South Korea,2020,1644310000000,4.8,8713.6
414,Kuwait,2005,80798630137,0.1,169.1
414,Kuwait,2010,115416000000,0.1,136.0
414,Kuwait,2015,114586000000,0.1,395.8
414,Kuwait,2020,107513000000,0.2,173.5
419,Latin America and the Caribbean,2005,2901840000000,0.6,357.4
419,Latin America and the Caribbean,2010,5395520000000,0.7,430.3
419,Latin America and the Caribbean,2015,5418290000000,0.7,526.8
419,Latin America and the Caribbean,2020,4804920000000,0.6,613.5
426,Lesotho,2009,1740894965,0.0,23.0
426,Lesotho,2015,2359686725,0.1,24.1
428,Latvia,2005,17003459863,0.5,1457.4
428,Latvia,2010,23956163077,0.6,1838.7
428,Latvia,2015,27263090547,0.6,1808.6
428,Latvia,2020,34390910339,0.7,2158.8
440,Lithuania,2005,26097677572,0.7,2283.6
440,Lithuania,2010,37128694028,0.8,2752.7
440,Lithuania,2015,41435533340,1.0,2785.6
440,Lithuania,2020,56964942999,1.1,3728.5
442,Luxembourg,2005,37672280120,1.6,4864.1
442,Luxembourg,2010,56213985987,1.4,5145.0
442,Luxembourg,2015,60071584216,1.3,4604.9
442,Luxembourg,2020,73699366700,1.1,4920.3
446,Macao,2005,12160056122,0.1,616.1
446,Macao,2010,28241798492,0.1,649.8
446,Macao,2015,45048190598,0.1,1276.9
446,Macao,2021,30969334705,0.4,4283.1
450,Madagascar,2005,5859269753,0.2,47.9
450,Madagascar,2010,9982711338,0.1,52.0
450,Madagascar,2011,11551819618,0.1,50.9
450,Madagascar,2017,13176313594,0.0,30.6
458,Malaysia,2010,255018000000,1.0,1462.5
458,Malaysia,2015,301355000000,1.3,2308.0
458,Malaysia,2020,337456000000,1.0,740.8
466,Mali,2010,10689168016,0.6,29.4
466,Mali,2015,13104764378,0.3,30.8
466,Mali,2021,19309463508,0.2,30.3
470,Malta,2005,6416184236,0.5,1183.7
470,Malta,2010,9035824366,0.6,1417.0
470,Malta,2015,11091483660,0.7,1891.3
470,Malta,2020,15249999048,0.7,2296.5
480,Mauritius,2012,11668696397,0.2,181.8
480,Mauritius,2021,11484348766,0.4,568.0
484,Mexico,2005,917572000000,0.4,414.3
484,Mexico,2010,1105420000000,0.5,337.4
484,Mexico,2015,1213290000000,0.4,281.3
484,Mexico,2020,1120830000000,0.3,348.8
492,Monaco,2005,4204652899,0.0,295.5
496,Mongolia,2020,13312981429,0.1,331.0
498,Moldova,2005,2988342907,0.4,719.5
498,Moldova,2010,6974982370,0.4,760.9
498,Moldova,2015,7797667197,0.3,953.4
498,Moldova,2021,13691869264,0.2,788.1
499,Montenegro,2015,4054730078,0.4,834.6
499,Montenegro,2019,5542054181,0.4,746.8
504,Morocco,2010,100865000000,0.7,719.8
508,Mozambique,2010,11411894724,0.4,38.8
508,Mozambique,2015,16208985770,0.3,43.0
512,Oman,2015,78710793238,0.2,212.5
512,Oman,2021,88191977373,0.3,284.4
516,Namibia,2014,12435430970,0.3,149.5
528,Netherlands,2005,685348000000,1.8,2923.8
528,Netherlands,2010,847381000000,1.7,3219.0
528,Netherlands,2015,765573000000,2.1,4928.9
528,Netherlands,2020,909793000000,2.3,5911.7
554,New Zealand,2005,114720000000,1.1,3140.2
554,New Zealand,2009,121374000000,1.3,3724.0
554,New Zealand,2015,178104000000,1.2,5417.7
554,New Zealand,2019,212847000000,1.4,5854.0
566,Nigeria,2007,278261000000,0.1,38.8
578,Norway,2005,309979000000,1.5,4576.6
578,Norway,2010,431052000000,1.7,5413.8
578,Norway,2015,388160000000,1.9,5891.0
578,Norway,2020,367633000000,2.3,6698.8
586,Pakistan,2005,145209000000,0.4,79.2
586,Pakistan,2009,187338000000,0.4,157.3
586,Pakistan,2015,299964000000,0.2,278.9
586,Pakistan,2021,348517000000,0.2,422.8
591,Panama,2005,16374393900,0.2,103.3
591,Panama,2009,27116635600,0.1,110.1
591,Panama,2013,45599900000,0.1,39.1
598,Papua New Guinea,2016,20758876953,0.0,35.5
600,Paraguay,2005,10737500188,0.1,72.0
600,Paraguay,2008,24615267664,0.0,76.6
600,Paraguay,2015,36211447840,0.1,182.7
600,Paraguay,2020,35432178068,0.2,129.8
608,Philippines,2005,107420000000,0.1,79.9
608,Philippines,2009,175975000000,0.1,81.2
608,Philippines,2015,306446000000,0.2,105.7
608,Philippines,2018,346842000000,0.3,173.6
616,Poland,2005,306146000000,0.6,1620.1
616,Poland,2010,475697000000,0.7,1683.1
616,Poland,2015,477111000000,1.0,2171.6
616,Poland,2020,599443000000,1.4,3288.2
620,Portugal,2005,197254000000,0.8,2010.4
620,Portugal,2010,238113000000,1.5,3918.8
620,Portugal,2015,199394000000,1.2,3729.8
620,Portugal,2020,229032000000,1.6,5214.8
630,Puerto Rico,2015,103376000000,0.4,348.4
634,Qatar,2015,161740000000,0.5,584.0
634,Qatar,2021,179732000000,0.7,902.6
642,Romania,2005,98454380120,0.4,1071.9
642,Romania,2010,170029000000,0.4,966.2
642,Romania,2015,177884000000,0.5,876.2
642,Romania,2020,251363000000,0.5,952.9
643,Russia,2005,764016000000,1.1,3233.6
643,Russia,2010,1524920000000,1.1,3081.1
643,Russia,2015,1363480000000,1.1,3098.1
643,Russia,2020,1493080000000,1.1,2721.7
646,Rwanda,2019,10349299856,0.8,58.8
682,Saudi Arabia,2021,874156000000,0.5,700.6
686,Senegal,2010,16121315909,0.4,369.1
686,Senegal,2015,17774766696,0.6,564.3
688,Serbia,2010,41819468692,0.7,1514.8
688,Serbia,2015,39655949731,0.8,2071.2
688,Serbia,2021,63101042898,1.0,2230.9
690,Seychelles,2005,977899381,0.3,146.6
702,Singapore,2005,127808000000,2.1,5576.9
702,Singapore,2010,239808000000,1.9,6241.9
702,Singapore,2015,307999000000,2.2,7006.6
702,Singapore,2019,376902000000,1.9,7286.9
704,Viet Nam,2015,239258000000,0.4,678.6
704,Viet Nam,2019,334365000000,0.4,756.7
705,Slovenia,2005,36206395971,1.4,2633.1
705,Slovenia,2010,48208240226,2.1,3769.8
705,Slovenia,2015,43107506024,2.2,3814.2
705,Slovenia,2020,53734526854,2.1,4932.3
710,South Africa,2005,288867000000,0.8,361.4
710,South Africa,2010,417364000000,0.7,365.5
710,South Africa,2015,346710000000,0.7,472.3
710,South Africa,2019,389330000000,0.6,484.3
724,Spain,2005,1153720000000,1.1,2492.6
724,Spain,2010,1422110000000,1.4,2869.2
724,Spain,2015,1196160000000,1.2,2623.4
724,Spain,2020,1278130000000,1.4,3109.2
748,Eswatini,2015,4063245671,0.3,142.3
752,Sweden,2005,392218000000,3.4,6085.1
752,Sweden,2010,495813000000,3.2,5251.5
752,Sweden,2015,505104000000,3.2,6834.0
752,Sweden,2020,547054000000,3.5,7930.2
756,Switzerland,2008,567268000000,2.7,3298.2
756,Switzerland,2015,694118000000,3.1,5271.9
756,Switzerland,2019,721369000000,3.2,5552.0
760,Syria,2015,16466863097,0.0,91.0
764,Thailand,2005,189318000000,0.2,313.5
764,Thailand,2009,281711000000,0.2,329.0
764,Thailand,2015,401296000000,0.6,864.7
764,Thailand,2020,500462000000,1.3,2069.9
768,Togo,2010,4746389532,0.2,34.3
768,Togo,2014,6393318262,0.3,38.0
780,Trinidad and Tobago,2020,20807571314,0.1,638.8
784,United Arab Emirates,2015,370275000000,0.9,1980.5
784,United Arab Emirates,2021,415179000000,1.5,2488.8
788,Tunisia,2010,46206091938,0.7,1384.7
788,Tunisia,2015,45779494042,0.6,1800.1
788,Tunisia,2019,41905540184,0.7,1744.9
800,Uganda,2010,26673441431,0.4,38.9
800,Uganda,2014,32612397257,0.1,27.8
804,Ukraine,2010,141209000000,0.8,1328.0
804,Ukraine,2015,91030967789,0.6,1006.0
804,Ukraine,2021,199766000000,0.3,587.5
807,North Macedonia,2005,6258602873,0.2,540.2
807,North Macedonia,2010,9407170321,0.2,532.1
807,North Macedonia,2015,10064519963,0.4,858.5
807,North Macedonia,2021,14000283827,0.4,752.8
818,Egypt,2010,218984000000,0.4,492.4
818,Egypt,2015,329367000000,0.7,672.9
818,Egypt,2021,424672000000,1.0,854.3
826,United Kingdom,2005,2543180000000,1.5,4123.5
826,United Kingdom,2010,2485480000000,1.6,4043.3
826,United Kingdom,2015,2927910000000,1.6,4319.5
826,United Kingdom,2019,2851410000000,1.7,4683.8
834,Tanzania,2010,32012892919,0.4,36.1
834,Tanzania,2013,45648857242,0.5,19.2
858,Uruguay,2010,41950361212,0.3,629.3
858,Uruguay,2015,57680327999,0.4,677.0
858,Uruguay,2020,53668636568,0.4,795.7
860,Uzbekistan,2005,14307509839,0.2,632.8
860,Uzbekistan,2010,49765676402,0.2,545.0
860,Uzbekistan,2015,86196264755,0.2,497.4
860,Uzbekistan,2021,69600614987,0.1,523.4
862,Venezuela,2005,145513000000,0.2,122.9
862,Venezuela,2010,393192000000,0.2,204.0
862,Venezuela,2014,482359000000,0.3,272.7
894,Zambia,2008,17910858638,0.3,41.7
