area,year,series,value,location,country_code
Argentina,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,032
Argentina,2010,Researchers per million inhabitants (FTE),1123.8,,032
Argentina,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,032
Argentina,2015,Researchers per million inhabitants (FTE),1230.5,,032
Argentina,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,032
Argentina,2020,Researchers per million inhabitants (FTE),1236.9,,032
Armenia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,051
Armenia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,051
Armenia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,051
Armenia,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,051
Australia,2004,Researchers per million inhabitants (FTE),4084.2,,036
Australia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,036
Australia,2010,Researchers per million inhabitants (FTE),4532.4,,036
Australia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,036
Australia,2019,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,036
Austria,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,040
Austria,2005,Researchers per million inhabitants (FTE),3449.3,,040
Austria,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.7,,040
Austria,2010,Researchers per million inhabitants (FTE),4349.7,,040
Austria,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.0,,040
Austria,2015,Researchers per million inhabitants (FTE),5019.4,,040
Austria,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.2,,040
Austria,2020,Researchers per million inhabitants (FTE),5751.3,,040
Azerbaijan,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,031
Azerbaijan,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,031
Azerbaijan,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,031
Azerbaijan,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,031
Azerbaijan,2021,Researchers per million inhabitants (FTE),1741.1,,031
Bahrain,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,048
Bahrain,2014,Researchers per million inhabitants (FTE),369.0,,048
Belarus,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,112
Belarus,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,112
Belarus,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,112
Belarus,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,112
Belarus,2021,Researchers per million inhabitants (FTE),1417.7,,112
Belgium,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,056
Belgium,2005,Researchers per million inhabitants (FTE),3142.7,,056
Belgium,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,056
Belgium,2010,Researchers per million inhabitants (FTE),3732.8,,056
Belgium,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,056
Belgium,2015,Researchers per million inhabitants (FTE),4711.0,,056
Belgium,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.5,,056
Belgium,2020,Researchers per million inhabitants (FTE),5750.1,,056
Bermuda,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,060
Bermuda,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,060
Bermuda,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,060
Bolivia,2002,Researchers per million inhabitants (FTE),119.0,,068
Bolivia,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,068
Bolivia,2009,Researchers per million inhabitants (FTE),143.9,,068
Bolivia,2010,Researchers per million inhabitants (FTE),163.8,,068
Bosnia and Herzegovina,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,070
Bosnia and Herzegovina,2005,Researchers per million inhabitants (FTE),67.1,,070
Bosnia and Herzegovina,2007,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,070
Bosnia and Herzegovina,2007,Researchers per million inhabitants (FTE),198.0,,070
Bosnia and Herzegovina,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,070
Bosnia and Herzegovina,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,070
Bosnia and Herzegovina,2015,Researchers per million inhabitants (FTE),365.2,,070
Bosnia and Herzegovina,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,070
Bosnia and Herzegovina,2021,Researchers per million inhabitants (FTE),447.2,,070
Botswana,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,072
Botswana,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,072
Botswana,2013,Researchers per million inhabitants (FTE),185.2,,072
Brazil,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,076
Brazil,2005,Researchers per million inhabitants (FTE),509.0,,076
Brazil,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,076
Brazil,2010,Researchers per million inhabitants (FTE),686.1,,076
Brazil,2014,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,076
Brazil,2014,Researchers per million inhabitants (FTE),887.7,,076
Brazil,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.4,,076
Brazil,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,076
Brunei,2004,Researchers per million inhabitants (FTE),283.5,,096
Brunei,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,096
Bulgaria,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,100
Bulgaria,2005,Researchers per million inhabitants (FTE),1307.8,,100
Bulgaria,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,100
Bulgaria,2010,Researchers per million inhabitants (FTE),1478.7,,100
Bulgaria,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,100
Bulgaria,2015,Researchers per million inhabitants (FTE),1977.3,,100
Bulgaria,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,100
Bulgaria,2020,Researchers per million inhabitants (FTE),2402.1,,100
Burkina Faso,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,854
Burkina Faso,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,854
Burkina Faso,2010,Researchers per million inhabitants (FTE),47.6,,854
Burkina Faso,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,854
Burkina Faso,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,854
Burundi,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,108
Burundi,2012,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,108
Burundi,2012,Researchers per million inhabitants (FTE),20.9,,108
Burundi,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,108
Burundi,2018,Researchers per million inhabitants (FTE),23.4,,108
Cabo Verde,2002,Researchers per million inhabitants (FTE),135.5,,132
Cabo Verde,2011,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,132
Cabo Verde,2011,Researchers per million inhabitants (FTE),50.1,,132
Cabo Verde,2014,Researchers per million inhabitants (FTE),123.5,,132
Cambodia,2002,Researchers per million inhabitants (FTE),17.6,,116
Cambodia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,116
Cambodia,2015,Researchers per million inhabitants (FTE),30.4,,116
Canada,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,124
Canada,2005,Researchers per million inhabitants (FTE),4250.1,,124
Canada,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,124
Canada,2010,Researchers per million inhabitants (FTE),4646.3,,124
Canada,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,124
Canada,2015,Researchers per million inhabitants (FTE),4523.3,,124
Canada,2018,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,124
Canada,2018,Researchers per million inhabitants (FTE),4516.3,,124
Canada,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,124
Chad,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,148
Chad,2016,Researchers per million inhabitants (FTE),57.9,,148
Chile,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,152
Chile,2010,Researchers per million inhabitants (FTE),318.8,,152
Chile,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,152
Chile,2015,Researchers per million inhabitants (FTE),455.0,,152
Chile,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,152
Chile,2019,Researchers per million inhabitants (FTE),510.3,,152
China,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,156
China,2005,Researchers per million inhabitants (FTE),840.6,,156
China,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.7,,156
China,2010,Researchers per million inhabitants (FTE),884.6,,156
China,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,156
China,2015,Researchers per million inhabitants (FTE),1150.8,,156
China,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,156
China,2020,Researchers per million inhabitants (FTE),1584.9,,156
Hong Kong,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,344
Hong Kong,2005,Researchers per million inhabitants (FTE),2662.5,,344
Hong Kong,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,344
Hong Kong,2010,Researchers per million inhabitants (FTE),3114.6,,344
Hong Kong,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,344
Hong Kong,2015,Researchers per million inhabitants (FTE),3565.1,,344
Hong Kong,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,344
Hong Kong,2021,Researchers per million inhabitants (FTE),4553.4,,344
Macao,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,446
Macao,2005,Researchers per million inhabitants (FTE),616.1,,446
Macao,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,446
Macao,2010,Researchers per million inhabitants (FTE),649.8,,446
Macao,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,446
Macao,2015,Researchers per million inhabitants (FTE),1276.9,,446
Macao,2021,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,446
Macao,2021,Researchers per million inhabitants (FTE),4283.1,,446
Colombia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,170
Colombia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,170
Colombia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,170
Colombia,2015,Researchers per million inhabitants (FTE),69.5,,170
Colombia,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,170
Colombia,2017,Researchers per million inhabitants (FTE),88.0,,170
Colombia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,170
Congo,2000,Researchers per million inhabitants (FTE),32.5,,178
Costa Rica,2005,Researchers per million inhabitants (FTE),122.9,,188
Costa Rica,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,188
Costa Rica,2010,Researchers per million inhabitants (FTE),381.9,,188
Costa Rica,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,188
Costa Rica,2015,Researchers per million inhabitants (FTE),495.3,,188
Costa Rica,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,188
Costa Rica,2018,Researchers per million inhabitants (FTE),345.0,,188
Ivory Coast,2005,Researchers per million inhabitants (FTE),69.1,,384
Ivory Coast,2016,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,384
Croatia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,191
Croatia,2005,Researchers per million inhabitants (FTE),1308.1,,191
Croatia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,191
Croatia,2010,Researchers per million inhabitants (FTE),1641.3,,191
Croatia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,191
Croatia,2015,Researchers per million inhabitants (FTE),1504.2,,191
Croatia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,191
Croatia,2020,Researchers per million inhabitants (FTE),2219.8,,191
Cuba,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,192
Cuba,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,192
Cuba,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,192
Cuba,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,192
Cyprus,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,196
Cyprus,2005,Researchers per million inhabitants (FTE),916.7,,196
Cyprus,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,196
Cyprus,2010,Researchers per million inhabitants (FTE),1077.7,,196
Cyprus,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.5,,196
Cyprus,2015,Researchers per million inhabitants (FTE),1009.1,,196
Cyprus,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.8,,196
Cyprus,2020,Researchers per million inhabitants (FTE),1690.8,,196
Czechia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,1.2,,203
Czechia,2005,Researchers per million inhabitants (FTE),2356.1,,203
Czechia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.3,,203
Czechia,2010,Researchers per million inhabitants (FTE),2774.0,,203
Czechia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.9,,203
Czechia,2015,Researchers per million inhabitants (FTE),3592.1,,203
Czechia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.0,,203
Czechia,2020,Researchers per million inhabitants (FTE),4127.9,,203
Democratic Republic of the Congo,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,180
Democratic Republic of the Congo,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,180
Democratic Republic of the Congo,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,180
Democratic Republic of the Congo,2015,Researchers per million inhabitants (FTE),10.6,,180
Denmark,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.4,,208
Denmark,2005,Researchers per million inhabitants (FTE),5197.4,,208
Denmark,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,208
Denmark,2010,Researchers per million inhabitants (FTE),6739.2,,208
Denmark,2015,Gross domestic expenditure on R&D: as a percentage of GDP,3.1,,208
Denmark,2015,Researchers per million inhabitants (FTE),7528.3,,208
Denmark,2020,Gross domestic expenditure on R&D: as a percentage of GDP,3.0,,208
Denmark,2020,Researchers per million inhabitants (FTE),7691.9,,208
Ecuador,2003,Researchers per million inhabitants (FTE),48.2,,218
Ecuador,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,218
Ecuador,2010,Researchers per million inhabitants (FTE),140.6,,218
Ecuador,2014,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,218
Ecuador,2014,Researchers per million inhabitants (FTE),399.5,,218
Egypt,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,818
Egypt,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.4,,818
Egypt,2010,Researchers per million inhabitants (FTE),492.4,,818
Egypt,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.7,,818
Egypt,2015,Researchers per million inhabitants (FTE),672.9,,818
Egypt,2021,Gross domestic expenditure on R&D: as a percentage of GDP,1.0,,818
Egypt,2021,Researchers per million inhabitants (FTE),854.3,,818
El Salvador,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,222
El Salvador,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,222
El Salvador,2015,Researchers per million inhabitants (FTE),63.2,,222
El Salvador,2019,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,222
El Salvador,2019,Researchers per million inhabitants (FTE),73.0,,222
El Salvador,2020,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,222
Estonia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.9,,233
Estonia,2005,Researchers per million inhabitants (FTE),2457.1,,233
Estonia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,1.6,,233
Estonia,2010,Researchers per million inhabitants (FTE),3060.6,,233
Estonia,2015,Gross domestic expenditure on R&D: as a percentage of GDP,1.5,,233
Estonia,2015,Researchers per million inhabitants (FTE),3183.2,,233
Estonia,2020,Gross domestic expenditure on R&D: as a percentage of GDP,1.8,,233
Estonia,2020,Researchers per million inhabitants (FTE),3846.1,,233
Eswatini,2015,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,748
Eswatini,2015,Researchers per million inhabitants (FTE),142.3,,748
Ethiopia,2005,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,231
Ethiopia,2005,Researchers per million inhabitants (FTE),21.1,,231
Ethiopia,2010,Gross domestic expenditure on R&D: as a percentage of GDP,0.2,,231
Ethiopia,2010,Researchers per million inhabitants (FTE),42.2,,231
Ethiopia,2013,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,231
Ethiopia,2013,Researchers per million inhabitants (FTE),44.7,,231
Ethiopia,2017,Gross domestic expenditure on R&D: as a percentage of GDP,0.3,,231
Ethiopia,2017,Researchers per million inhabitants (FTE),90.5,,231
Faroe Islands,2003,Researchers per million inhabitants (FTE),1813.1,,234
Finland,2005,Gross domestic expenditure on R&D: as a percentage of GDP,3.3,,246
Finland,2005,Researchers per million inhabitants (FTE),7526.6,,246
Finland,2010,Gross domestic expenditure on R&D: as a percentage of GDP,3.7,,246
Finland,2010,Researchers per million inhabitants (FTE),7720.2,,246
Finland,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,246
Finland,2015,Researchers per million inhabitants (FTE),6844.5,,246
Finland,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.9,,246
Finland,2020,Researchers per million inhabitants (FTE),7527.4,,246
France,2005,Gross domestic expenditure on R&D: as a percentage of GDP,2.1,,250
France,2005,Researchers per million inhabitants (FTE),3313.3,,250
France,2010,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,250
France,2010,Researchers per million inhabitants (FTE),3873.0,,250
France,2015,Gross domestic expenditure on R&D: as a percentage of GDP,2.2,,250
France,2015,Researchers per million inhabitants (FTE),4336.0,,250
France,2020,Gross domestic expenditure on R&D: as a percentage of GDP,2.3,,250
France,2020,Researchers per million inhabitants (FTE),4926.2,,250
Gabon,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.6,,266
Gambia,2009,Gross domestic expenditure on R&D: as a percentage of GDP,0.0,,270
Gambia,2009,Researchers per million inhabitants (FTE),102.9,,270
Gambia,2011,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,270
Gambia,2011,Researchers per million inhabitants (FTE),31.7,,270
Gambia,2018,Gross domestic expenditure on R&D: as a percentage of GDP,0.1,,270
Gambia,2018,Researchers per million inhabitants (FTE),52.9,,270
