region,country,year,patents,number_patents,patents_mapped
50,Bangladesh,1995,Resident patent filings (per million population),1.0,2
50,Bangladesh,1985,Grants of patents (number),118.0,1
50,Bangladesh,1995,Grants of patents (number),80.0,1
50,Bangladesh,2005,Grants of patents (number),182.0,1
50,Bangladesh,2010,Grants of patents (number),92.0,1
50,Bangladesh,2019,Grants of patents (number),129.0,1
50,Bangladesh,2020,Grants of patents (number),140.0,1
50,Bangladesh,2021,Grants of patents (number),240.0,1
50,Bangladesh,2019,Patents in force (number),,3
50,Bangladesh,2020,Patents in force (number),,3
50,Bangladesh,2021,Patents in force (number),,3
52,Barbados,2005,Grants of patents (number),7.0,1
52,Barbados,2005,Patents in force (number),49.0,3
52,Barbados,2010,Patents in force (number),57.0,3
112,Belarus,1995,Resident patent filings (per million population),61.0,2
112,Belarus,2005,Resident patent filings (per million population),121.0,2
112,Belarus,2010,Resident patent filings (per million population),197.0,2
112,Belarus,2019,Resident patent filings (per million population),43.0,2
112,Belarus,2020,Resident patent filings (per million population),45.0,2
112,Belarus,2021,Resident patent filings (per million population),39.0,2
112,Belarus,1995,Grants of patents (number),633.0,1
112,Belarus,2005,Grants of patents (number),955.0,1
112,Belarus,2010,Grants of patents (number),,1
112,Belarus,2019,Grants of patents (number),461.0,1
112,Belarus,2020,Grants of patents (number),447.0,1
112,Belarus,2021,Grants of patents (number),316.0,1
112,Belarus,2010,Patents in force (number),,3
112,Belarus,2019,Patents in force (number),,3
112,Belarus,2020,Patents in force (number),,3
112,Belarus,2021,Patents in force (number),,3
56,Belgium,1985,Resident patent filings (per million population),78.0,2
56,Belgium,1995,Resident patent filings (per million population),72.0,2
56,Belgium,2005,Resident patent filings (per million population),208.0,2
56,Belgium,2010,Resident patent filings (per million population),244.0,2
56,Belgium,2019,Resident patent filings (per million population),288.0,2
56,Belgium,2020,Resident patent filings (per million population),282.0,2
56,Belgium,2021,Resident patent filings (per million population),284.0,2
56,Belgium,1985,Grants of patents (number),,1
56,Belgium,1995,Grants of patents (number),,1
56,Belgium,2005,Grants of patents (number),708.0,1
56,Belgium,2010,Grants of patents (number),532.0,1
56,Belgium,2019,Grants of patents (number),998.0,1
56,Belgium,2020,Grants of patents (number),994.0,1
56,Belgium,2021,Grants of patents (number),,1
56,Belgium,2010,Patents in force (number),,3
56,Belgium,2019,Patents in force (number),,3
56,Belgium,2020,Patents in force (number),,3
56,Belgium,2021,Patents in force (number),,3
84,Belize,2019,Grants of patents (number),9.0,1
84,Belize,2020,Grants of patents (number),3.0,1
84,Belize,2021,Grants of patents (number),12.0,1
84,Belize,2019,Patents in force (number),41.0,3
84,Belize,2020,Patents in force (number),45.0,3
84,Belize,2021,Patents in force (number),57.0,3
204,Benin,2005,Resident patent filings (per million population),1.0,2
204,Benin,2019,Resident patent filings (per million population),1.0,2
204,Benin,2021,Resident patent filings (per million population),1.0,2
64,Bhutan,2019,Grants of patents (number),1.0,1
64,Bhutan,2019,Patents in force (number),1.0,3
64,Bhutan,2020,Patents in force (number),1.0,3
64,Bhutan,2021,Patents in force (number),1.0,3
68,Bolivia (Plurin. State of),1985,Resident patent filings (per million population),1.0,2
68,Bolivia (Plurin. State of),1995,Resident patent filings (per million population),2.0,2
68,Bolivia (Plurin. State of),1985,Grants of patents (number),62.0,1
68,Bolivia (Plurin. State of),1995,Grants of patents (number),47.0,1
70,Bosnia and Herzegovina,2005,Resident patent filings (per million population),18.0,2
70,Bosnia and Herzegovina,2010,Resident patent filings (per million population),15.0,2
70,Bosnia and Herzegovina,2019,Resident patent filings (per million population),14.0,2
70,Bosnia and Herzegovina,2020,Resident patent filings (per million population),15.0,2
70,Bosnia and Herzegovina,2021,Resident patent filings (per million population),16.0,2
70,Bosnia and Herzegovina,2005,Grants of patents (number),46.0,1
70,Bosnia and Herzegovina,2010,Grants of patents (number),173.0,1
70,Bosnia and Herzegovina,2019,Grants of patents (number),2.0,1
70,Bosnia and Herzegovina,2020,Grants of patents (number),18.0,1
70,Bosnia and Herzegovina,2021,Grants of patents (number),4.0,1
70,Bosnia and Herzegovina,2005,Patents in force (number),120.0,3
70,Bosnia and Herzegovina,2010,Patents in force (number),716.0,3
70,Bosnia and Herzegovina,2019,Patents in force (number),184.0,3
70,Bosnia and Herzegovina,2020,Patents in force (number),160.0,3
70,Bosnia and Herzegovina,2021,Patents in force (number),152.0,3
72,Botswana,2019,Resident patent filings (per million population),1.0,2
72,Botswana,2020,Resident patent filings (per million population),1.0,2
72,Botswana,2021,Resident patent filings (per million population),1.0,2
72,Botswana,2019,Patents in force (number),,3
76,Brazil,1985,Resident patent filings (per million population),14.0,2
76,Brazil,1995,Resident patent filings (per million population),17.0,2
76,Brazil,2005,Resident patent filings (per million population),22.0,2
76,Brazil,2010,Resident patent filings (per million population),22.0,2
76,Brazil,2019,Resident patent filings (per million population),26.0,2
76,Brazil,2020,Resident patent filings (per million population),25.0,2
76,Brazil,2021,Resident patent filings (per million population),22.0,2
76,Brazil,1985,Grants of patents (number),,1
76,Brazil,1995,Grants of patents (number),,1
76,Brazil,2005,Grants of patents (number),,1
76,Brazil,2010,Grants of patents (number),,1
76,Brazil,2019,Grants of patents (number),,1
76,Brazil,2020,Grants of patents (number),,1
76,Brazil,2021,Grants of patents (number),,1
76,Brazil,2005,Patents in force (number),,3
76,Brazil,2010,Patents in force (number),,3
76,Brazil,2019,Patents in force (number),,3
76,Brazil,2020,Patents in force (number),,3
76,Brazil,2021,Patents in force (number),,3
96,Brunei Darussalam,1995,Grants of patents (number),42.0,1
96,Brunei Darussalam,2005,Grants of patents (number),26.0,1
96,Brunei Darussalam,2010,Grants of patents (number),40.0,1
96,Brunei Darussalam,2019,Grants of patents (number),50.0,1
96,Brunei Darussalam,2020,Grants of patents (number),27.0,1
96,Brunei Darussalam,2021,Grants of patents (number),31.0,1
96,Brunei Darussalam,2019,Patents in force (number),540.0,3
96,Brunei Darussalam,2020,Patents in force (number),652.0,3
96,Brunei Darussalam,2021,Patents in force (number),,3
100,Bulgaria,1995,Resident patent filings (per million population),44.0,2
100,Bulgaria,2005,Resident patent filings (per million population),36.0,2
100,Bulgaria,2010,Resident patent filings (per million population),34.0,2
100,Bulgaria,2019,Resident patent filings (per million population),32.0,2
100,Bulgaria,2020,Resident patent filings (per million population),42.0,2
100,Bulgaria,2021,Resident patent filings (per million population),30.0,2
100,Bulgaria,1985,Grants of patents (number),130.0,1
100,Bulgaria,1995,Grants of patents (number),375.0,1
100,Bulgaria,2005,Grants of patents (number),313.0,1
100,Bulgaria,2010,Grants of patents (number),251.0,1
100,Bulgaria,2019,Grants of patents (number),195.0,1
100,Bulgaria,2020,Grants of patents (number),215.0,1
100,Bulgaria,2021,Grants of patents (number),182.0,1
100,Bulgaria,2005,Patents in force (number),,3
100,Bulgaria,2010,Patents in force (number),,3
100,Bulgaria,2019,Patents in force (number),,3
100,Bulgaria,2020,Patents in force (number),,3
100,Bulgaria,2021,Patents in force (number),,3
108,Burundi,1995,Grants of patents (number),1.0,1
108,Burundi,2019,Grants of patents (number),18.0,1
108,Burundi,2020,Grants of patents (number),5.0,1
132,Cabo Verde,2021,Grants of patents (number),2.0,1
116,Cambodia,2019,Grants of patents (number),84.0,1
116,Cambodia,2020,Grants of patents (number),96.0,1
120,Cameroon,2005,Resident patent filings (per million population),1.0,2
120,Cameroon,2019,Resident patent filings (per million population),1.0,2
120,Cameroon,2020,Resident patent filings (per million population),2.0,2
120,Cameroon,2021,Resident patent filings (per million population),2.0,2
124,Canada,1985,Resident patent filings (per million population),81.0,2
124,Canada,1995,Resident patent filings (per million population),83.0,2
124,Canada,2005,Resident patent filings (per million population),161.0,2
124,Canada,2010,Resident patent filings (per million population),134.0,2
124,Canada,2019,Resident patent filings (per million population),113.0,2
124,Canada,2020,Resident patent filings (per million population),117.0,2
124,Canada,2021,Resident patent filings (per million population),123.0,2
124,Canada,1985,Grants of patents (number),,1
124,Canada,1995,Grants of patents (number),,1
124,Canada,2005,Grants of patents (number),,1
124,Canada,2010,Grants of patents (number),,1
124,Canada,2019,Grants of patents (number),,1
124,Canada,2020,Grants of patents (number),,1
124,Canada,2021,Grants of patents (number),,1
124,Canada,2005,Patents in force (number),,3
124,Canada,2010,Patents in force (number),,3
124,Canada,2019,Patents in force (number),,3
124,Canada,2020,Patents in force (number),,3
124,Canada,2021,Patents in force (number),,3
140,Central African Republic,2020,Resident patent filings (per million population),1.0,2
152,Chile,1985,Resident patent filings (per million population),10.0,2
152,Chile,1995,Resident patent filings (per million population),12.0,2
152,Chile,2005,Resident patent filings (per million population),22.0,2
152,Chile,2010,Resident patent filings (per million population),19.0,2
152,Chile,2019,Resident patent filings (per million population),23.0,2
152,Chile,2020,Resident patent filings (per million population),20.0,2
152,Chile,2021,Resident patent filings (per million population),21.0,2
152,Chile,1985,Grants of patents (number),448.0,1
152,Chile,1995,Grants of patents (number),133.0,1
152,Chile,2005,Grants of patents (number),311.0,1
152,Chile,2010,Grants of patents (number),,1
152,Chile,2019,Grants of patents (number),,1
152,Chile,2020,Grants of patents (number),,1
152,Chile,2021,Grants of patents (number),,1
152,Chile,2010,Patents in force (number),,3
152,Chile,2019,Patents in force (number),,3
152,Chile,2020,Patents in force (number),,3
152,Chile,2021,Patents in force (number),,3
156,China,1985,Resident patent filings (per million population),4.0,2
156,China,1995,Resident patent filings (per million population),8.0,2
156,China,2005,Resident patent filings (per million population),72.0,2
156,China,2010,Resident patent filings (per million population),219.0,2
156,China,2019,Resident patent filings (per million population),883.0,2
156,China,2020,Resident patent filings (per million population),953.0,2
156,China,2021,Resident patent filings (per million population),,2
156,China,1985,Grants of patents (number),44.0,1
156,China,1995,Grants of patents (number),,1
156,China,2005,Grants of patents (number),,1
156,China,2010,Grants of patents (number),,1
156,China,2019,Grants of patents (number),,1
156,China,2020,Grants of patents (number),,1
156,China,2021,Grants of patents (number),,1
156,China,2005,Patents in force (number),,3
156,China,2010,Patents in force (number),,3
156,China,2019,Patents in force (number),,3
156,China,2020,Patents in force (number),,3
156,China,2021,Patents in force (number),,3
344,"China, Hong Kong SAR",1985,Resident patent filings (per million population),3.0,2
344,"China, Hong Kong SAR",1995,Resident patent filings (per million population),4.0,2
344,"China, Hong Kong SAR",2005,Resident patent filings (per million population),23.0,2
344,"China, Hong Kong SAR",2010,Resident patent filings (per million population),19.0,2
344,"China, Hong Kong SAR",2019,Resident patent filings (per million population),46.0,2
344,"China, Hong Kong SAR",2020,Resident patent filings (per million population),57.0,2
344,"China, Hong Kong SAR",2021,Resident patent filings (per million population),54.0,2
344,"China, Hong Kong SAR",1985,Grants of patents (number),,1
344,"China, Hong Kong SAR",1995,Grants of patents (number),,1
344,"China, Hong Kong SAR",2005,Grants of patents (number),,1
344,"China, Hong Kong SAR",2010,Grants of patents (number),,1
344,"China, Hong Kong SAR",2019,Grants of patents (number),,1
344,"China, Hong Kong SAR",2020,Grants of patents (number),,1
344,"China, Hong Kong SAR",2021,Grants of patents (number),,1
344,"China, Hong Kong SAR",2010,Patents in force (number),,3
344,"China, Hong Kong SAR",2019,Patents in force (number),,3
344,"China, Hong Kong SAR",2020,Patents in force (number),,3
344,"China, Hong Kong SAR",2021,Patents in force (number),,3
446,"China, Macao SAR",1995,Grants of patents (number),2.0,1
446,"China, Macao SAR",2005,Grants of patents (number),5.0,1
446,"China, Macao SAR",2010,Grants of patents (number),156.0,1
446,"China, Macao SAR",2019,Grants of patents (number),20.0,1
446,"China, Macao SAR",2020,Grants of patents (number),18.0,1
446,"China, Macao SAR",2021,Grants of patents (number),15.0,1
446,"China, Macao SAR",2005,Patents in force (number),12.0,3
446,"China, Macao SAR",2010,Patents in force (number),377.0,3
446,"China, Macao SAR",2019,Patents in force (number),366.0,3
446,"China, Macao SAR",2020,Patents in force (number),353.0,3
446,"China, Macao SAR",2021,Patents in force (number),348.0,3
170,Colombia,1985,Resident patent filings (per million population),2.0,2
170,Colombia,1995,Resident patent filings (per million population),4.0,2
170,Colombia,2005,Resident patent filings (per million population),2.0,2
170,Colombia,2010,Resident patent filings (per million population),3.0,2
170,Colombia,2019,Resident patent filings (per million population),8.0,2
170,Colombia,2020,Resident patent filings (per million population),7.0,2
170,Colombia,2021,Resident patent filings (per million population),8.0,2
170,Colombia,1985,Grants of patents (number),169.0,1
170,Colombia,1995,Grants of patents (number),365.0,1
170,Colombia,2005,Grants of patents (number),256.0,1
170,Colombia,2010,Grants of patents (number),639.0,1
170,Colombia,2019,Grants of patents (number),,1
170,Colombia,2020,Grants of patents (number),,1
170,Colombia,2021,Grants of patents (number),,1
170,Colombia,2019,Patents in force (number),,3
170,Colombia,2020,Patents in force (number),,3
170,Colombia,2021,Patents in force (number),,3
178,Congo,2005,Resident patent filings (per million population),1.0,2
178,Congo,2019,Resident patent filings (per million population),1.0,2
178,Congo,2020,Resident patent filings (per million population),2.0,2
178,Congo,2021,Resident patent filings (per million population),1.0,2
178,Congo,1995,Grants of patents (number),15.0,1
188,Costa Rica,1985,Resident patent filings (per million population),6.0,2
188,Costa Rica,1995,Resident patent filings (per million population),7.0,2
188,Costa Rica,2005,Resident patent filings (per million population),4.0,2
188,Costa Rica,2010,Resident patent filings (per million population),2.0,2
188,Costa Rica,2019,Resident patent filings (per million population),3.0,2
188,Costa Rica,2020,Resident patent filings (per million population),2.0,2
188,Costa Rica,2021,Resident patent filings (per million population),3.0,2
188,Costa Rica,1985,Grants of patents (number),20.0,1
188,Costa Rica,1995,Grants of patents (number),25.0,1
188,Costa Rica,2005,Grants of patents (number),13.0,1
188,Costa Rica,2010,Grants of patents (number),34.0,1
188,Costa Rica,2019,Grants of patents (number),191.0,1
188,Costa Rica,2020,Grants of patents (number),170.0,1
188,Costa Rica,2021,Grants of patents (number),130.0,1
188,Costa Rica,2019,Patents in force (number),,3
188,Costa Rica,2020,Patents in force (number),,3
188,Costa Rica,2021,Patents in force (number),,3
384,Côte dIvoire,2019,Resident patent filings (per million population),1.0,2
384,Côte dIvoire,2020,Resident patent filings (per million population),1.0,2
384,Côte dIvoire,2021,Resident patent filings (per million population),2.0,2
191,Croatia,1995,Resident patent filings (per million population),57.0,2
191,Croatia,2005,Resident patent filings (per million population),84.0,2
191,Croatia,2010,Resident patent filings (per million population),64.0,2
191,Croatia,2019,Resident patent filings (per million population),53.0,2
191,Croatia,2020,Resident patent filings (per million population),34.0,2
191,Croatia,2021,Resident patent filings (per million population),27.0,2
191,Croatia,1995,Grants of patents (number),25.0,1
191,Croatia,2005,Grants of patents (number),140.0,1
191,Croatia,2010,Grants of patents (number),82.0,1
191,Croatia,2019,Grants of patents (number),20.0,1
191,Croatia,2020,Grants of patents (number),10.0,1
191,Croatia,2021,Grants of patents (number),7.0,1
191,Croatia,2005,Patents in force (number),,3
191,Croatia,2010,Patents in force (number),,3
191,Croatia,2019,Patents in force (number),,3
191,Croatia,2020,Patents in force (number),,3
191,Croatia,2021,Patents in force (number),,3
192,Cuba,1995,Resident patent filings (per million population),10.0,2
192,Cuba,2005,Resident patent filings (per million population),9.0,2
192,Cuba,2019,Resident patent filings (per million population),2.0,2
192,Cuba,2020,Resident patent filings (per million population),3.0,2
192,Cuba,2021,Resident patent filings (per million population),2.0,2
192,Cuba,1985,Grants of patents (number),18.0,1
192,Cuba,1995,Grants of patents (number),77.0,1
192,Cuba,2005,Grants of patents (number),64.0,1
192,Cuba,2019,Grants of patents (number),89.0,1
192,Cuba,2020,Grants of patents (number),38.0,1
192,Cuba,2021,Grants of patents (number),81.0,1
192,Cuba,2005,Patents in force (number),653.0,3
192,Cuba,2019,Patents in force (number),648.0,3
192,Cuba,2020,Patents in force (number),581.0,3
192,Cuba,2021,Patents in force (number),494.0,3
196,Cyprus,2005,Resident patent filings (per million population),54.0,2
196,Cyprus,2010,Resident patent filings (per million population),35.0,2
196,Cyprus,2019,Resident patent filings (per million population),43.0,2
196,Cyprus,2020,Resident patent filings (per million population),56.0,2
196,Cyprus,2021,Resident patent filings (per million population),38.0,2
196,Cyprus,1985,Grants of patents (number),43.0,1
196,Cyprus,2005,Grants of patents (number),68.0,1
196,Cyprus,2010,Grants of patents (number),19.0,1
196,Cyprus,2019,Grants of patents (number),1.0,1
196,Cyprus,2010,Patents in force (number),333.0,3
196,Cyprus,2019,Patents in force (number),16.0,3
196,Cyprus,2020,Patents in force (number),21.0,3
196,Cyprus,2021,Patents in force (number),14.0,3
203,Czechia,1995,Resident patent filings (per million population),61.0,2
203,Czechia,2005,Resident patent filings (per million population),65.0,2
203,Czechia,2010,Resident patent filings (per million population),99.0,2
203,Czechia,2019,Resident patent filings (per million population),90.0,2
203,Czechia,2020,Resident patent filings (per million population),82.0,2
203,Czechia,2021,Resident patent filings (per million population),70.0,2
203,Czechia,1995,Grants of patents (number),,1
203,Czechia,2005,Grants of patents (number),,1
203,Czechia,2010,Grants of patents (number),911.0,1
203,Czechia,2019,Grants of patents (number),509.0,1
203,Czechia,2020,Grants of patents (number),499.0,1
203,Czechia,2021,Grants of patents (number),444.0,1
203,Czechia,2005,Patents in force (number),,3
203,Czechia,2010,Patents in force (number),,3
203,Czechia,2019,Patents in force (number),,3
203,Czechia,2020,Patents in force (number),,3
203,Czechia,2021,Patents in force (number),,3
408,Dem. People's Rep. Korea,2005,Resident patent filings (per million population),245.0,2
408,Dem. People's Rep. Korea,2010,Resident patent filings (per million population),327.0,2
408,Dem. People's Rep. Korea,2019,Resident patent filings (per million population),287.0,2
408,Dem. People's Rep. Korea,2020,Resident patent filings (per million population),269.0,2
408,Dem. People's Rep. Korea,2005,Grants of patents (number),,1
408,Dem. People's Rep. Korea,2010,Grants of patents (number),,1
408,Dem. People's Rep. Korea,2019,Grants of patents (number),,1
408,Dem. People's Rep. Korea,2020,Grants of patents (number),,1
180,Dem. Rep. of the Congo,2019,Resident patent filings (per million population),1.0,2
180,Dem. Rep. of the Congo,2020,Resident patent filings (per million population),1.0,2
180,Dem. Rep. of the Congo,2019,Grants of patents (number),63.0,1
180,Dem. Rep. of the Congo,2020,Grants of patents (number),27.0,1
180,Dem. Rep. of the Congo,2019,Patents in force (number),28.0,3
180,Dem. Rep. of the Congo,2020,Patents in force (number),15.0,3
208,Denmark,1985,Resident patent filings (per million population),167.0,2
208,Denmark,1995,Resident patent filings (per million population),236.0,2
208,Denmark,2005,Resident patent filings (per million population),523.0,2
208,Denmark,2010,Resident patent filings (per million population),625.0,2
208,Denmark,2019,Resident patent filings (per million population),646.0,2
208,Denmark,2020,Resident patent filings (per million population),628.0,2
208,Denmark,2021,Resident patent filings (per million population),634.0,2
208,Denmark,1985,Grants of patents (number),,1
208,Denmark,1995,Grants of patents (number),,1
208,Denmark,2005,Grants of patents (number),389.0,1
208,Denmark,2010,Grants of patents (number),155.0,1
208,Denmark,2019,Grants of patents (number),501.0,1
208,Denmark,2020,Grants of patents (number),353.0,1
208,Denmark,2021,Grants of patents (number),368.0,1
208,Denmark,2005,Patents in force (number),,3
208,Denmark,2010,Patents in force (number),,3
208,Denmark,2019,Patents in force (number),,3
208,Denmark,2020,Patents in force (number),,3
208,Denmark,2021,Patents in force (number),,3
212,Dominica,2019,Grants of patents (number),3.0,1
212,Dominica,2020,Grants of patents (number),2.0,1
212,Dominica,2021,Grants of patents (number),11.0,1
214,Dominican Republic,2005,Resident patent filings (per million population),1.0,2
214,Dominican Republic,2010,Resident patent filings (per million population),2.0,2
214,Dominican Republic,2019,Resident patent filings (per million population),2.0,2
214,Dominican Republic,2020,Resident patent filings (per million population),1.0,2
214,Dominican Republic,2021,Resident patent filings (per million population),1.0,2
214,Dominican Republic,2010,Grants of patents (number),91.0,1
214,Dominican Republic,2019,Grants of patents (number),158.0,1
214,Dominican Republic,2020,Grants of patents (number),138.0,1
214,Dominican Republic,2021,Grants of patents (number),227.0,1
