,area,year,gdp,r_d,researchers,hdi,public_expenditure_education,patents_num
40,Greece,2005,247875000000,0.6,1745.5,0.855,4.0,320
41,Guatemala,2010,40676578423,0.0,24.8,0.605,2.8,104
42,Guatemala,2021,86053083476,0.1,13.9,0.627,3.1,38
43,Hungary,2005,113211000000,0.9,1574.3,0.806,5.3,1126
44,Hungary,2010,132175000000,1.1,2149.8,0.828,4.7,65
45,Iceland,2005,16852963067,2.7,7305.3,0.901,7.3,101
46,India,2005,820384000000,0.8,134.9,0.534,3.2,4320
47,India,2010,1675620000000,0.8,156.2,0.575,3.4,7138
48,Ireland,2005,211877000000,1.2,2798.0,0.888,4.5,226
49,Ireland,2010,221914000000,1.6,3112.6,0.904,6.1,87
50,Italy,2005,1858220000000,1.0,1415.4,0.868,4.2,5534
51,Italy,2010,2136100000000,1.2,1743.3,0.882,4.3,16106
52,Japan,2005,4831470000000,3.1,5303.9,0.889,3.3,122944
53,Japan,2010,5759070000000,3.1,5103.6,0.898,3.6,222693
54,Kazakhstan,2010,148047000000,0.2,370.5,0.767,3.5,1868
55,Kazakhstan,2021,197112000000,0.1,629.9,0.811,4.5,651
56,Kenya,2010,45405615064,0.7,221.4,0.545,4.8,54
57,Latvia,2005,17003459863,0.5,1457.4,0.808,5.3,122
58,Latvia,2010,23956163077,0.6,1838.7,0.824,5.0,184
59,Lithuania,2005,26097677572,0.7,2283.6,0.817,4.9,116
60,Lithuania,2010,37128694028,0.8,2752.7,0.842,5.3,84
61,Luxembourg,2005,37672280120,1.6,4864.1,0.884,4.9,29
62,Luxembourg,2010,56213985987,1.4,5145.0,0.912,5.3,87
63,Madagascar,2005,5859269753,0.2,47.9,0.469,3.3,32
64,Madagascar,2010,9982711338,0.1,52.0,0.492,2.6,55
65,Malaysia,2010,255018000000,1.0,1462.5,0.769,5.0,2160
66,Malta,2010,9035824366,0.6,1417.0,0.861,6.3,4
67,Mauritius,2021,11484348766,0.4,568.0,0.802,4.7,4
68,Mexico,2005,917572000000,0.4,414.3,0.733,4.8,8098
69,Mexico,2010,1105420000000,0.5,337.4,0.746,5.2,9399
70,New Zealand,2005,114720000000,1.1,3140.2,0.912,6.3,4189
71,New Zealand,2019,212847000000,1.4,5854.0,0.937,5.2,1642
72,Norway,2005,309979000000,1.5,4576.6,0.931,6.9,542
73,Norway,2010,431052000000,1.7,5413.8,0.941,6.7,1631
74,Pakistan,2005,145209000000,0.4,79.2,0.484,2.0,393
75,Pakistan,2021,348517000000,0.2,422.8,0.544,2.1,234
76,Philippines,2005,107420000000,0.1,79.9,0.658,2.3,1642
77,Poland,2005,306146000000,0.6,1620.1,0.815,5.4,2522
78,Poland,2010,475697000000,0.7,1683.1,0.841,5.1,3004
79,Portugal,2005,197254000000,0.8,2010.4,0.806,5.1,231
80,Portugal,2010,238113000000,1.5,3918.8,0.829,5.4,140
81,Romania,2005,98454380120,0.4,1071.9,0.756,3.5,759
82,Romania,2010,170029000000,0.4,966.2,0.807,3.4,447
83,Serbia,2010,41819468692,0.7,1514.8,0.767,3.9,427
84,Singapore,2005,127808000000,2.1,5576.9,0.875,3.2,7530
85,Singapore,2010,239808000000,1.9,6241.9,0.91,3.1,4442
86,Slovenia,2005,36206395971,1.4,2633.1,0.869,5.6,285
87,Slovenia,2010,48208240226,2.1,3769.8,0.89,5.5,250
88,South Africa,2005,288867000000,0.8,361.4,0.632,4.5,1831
89,South Africa,2010,417364000000,0.7,365.5,0.675,5.1,5331
90,South Africa,2019,389330000000,0.6,484.3,0.736,5.9,6162
91,Spain,2005,1153720000000,1.1,2492.6,0.85,4.1,2769
92,Spain,2010,1422110000000,1.4,2869.2,0.868,4.9,2773
93,Sweden,2005,392218000000,3.4,6085.1,0.902,6.5,1911
94,Sweden,2010,495813000000,3.2,5251.5,0.91,6.5,1380
95,Switzerland,2019,721369000000,3.2,5552.0,0.962,5.1,615
96,Thailand,2005,189318000000,0.2,313.5,0.706,3.9,553
97,United Arab Emirates,2021,415179000000,1.5,2488.8,0.911,3.9,655
98,Tunisia,2010,46206091938,0.7,1384.7,0.72,6.0,620
99,Ukraine,2010,141209000000,0.8,1328.0,0.764,7.4,3874
100,Ukraine,2021,199766000000,0.3,587.5,0.773,5.6,2298
101,Egypt,2010,218984000000,0.4,492.4,0.675,3.5,321
102,United Kingdom,2005,2543180000000,1.5,4123.5,0.895,4.9,10159
103,United Kingdom,2010,2485480000000,1.6,4043.3,0.912,5.7,5594
104,United Kingdom,2019,2851410000000,1.7,4683.8,0.935,5.2,5948
105,Uzbekistan,2021,69600614987,0.1,523.4,0.727,4.6,298
